"SCPTDATA_ID","SERIES_NUM","LUSE","HABT_CODE","SPECIES","BROAD_HABITAT","DESCRIPTION","LC_2007","COUNTRY_CODE","DESCRIPTION1","Common","PC COVER"
100014142,861,"AN","142","920607",6,"Dactylis glomerata","27s","SCO","50-75%","Cock's-foot",75
10212529,729,"AN","133","920607",6,"Dactylis glomerata","7e","ENG","25-50%","Cock's-foot",50
100022796,224,"AN","133","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10221723,1102,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100017851,533,"AN","101","920607",5,"Dactylis glomerata","11e","ENG","<10%","Cock's-foot",10
100018024,592,"AN","10001","920607",6,"Dactylis glomerata","9e","ENG","10-25%","Cock's-foot",25
10212043,718,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100017447,402,"AN","101","920607",5,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
100022765,225,"AN","101","920607",5,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10224121,30,"AN","106","920607",41,"Dactylis glomerata","7e","ENG","50-75%","Cock's-foot",75
100017205,305,"AN","101","920607",5,"Dactylis glomerata","11e","ENG","10-25%","Cock's-foot",25
10224618,101,"AN","101","920607",9,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
10223477,1221,"AN","10001","920607",6,"Dactylis glomerata","15e","ENG","25-50%","Cock's-foot",50
10216142,827,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100018256,255,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
10228542,587,"AN","133","920607",6,"Dactylis glomerata","18e","ENG","50-75%","Cock's-foot",75
100017947,551,"AN","101","920607",5,"Dactylis glomerata","9e","ENG","10-25%","Cock's-foot",25
100022093,822,"AN","133","920607",6,"Dactylis glomerata","19s","SCO","10-25%","Cock's-foot",25
100024227,174,"AN","10001","920607",3,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
100015528,763,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100023601,542,"AN","133","920607",23,"Dactylis glomerata","15w","WAL","10-25%","Cock's-foot",25
10219563,958,"AN","10001","920607",6,"Dactylis glomerata","22s","SCO","25-50%","Cock's-foot",50
10219861,982,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100013314,22,"AN","133","920607",6,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
100022311,413,"AN","10001","920607",6,"Dactylis glomerata","9e","ENG","10-25%","Cock's-foot",25
100022196,385,"AN","10001","920607",6,"Dactylis glomerata","1e","ENG","<10%","Cock's-foot",10
100021257,438,"AN","133","920607",6,"Dactylis glomerata","10e","ENG","10-25%","Cock's-foot",25
100023663,287,"AN","133","920607",6,"Dactylis glomerata","6w","WAL","10-25%","Cock's-foot",25
100016997,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","25-50%","Cock's-foot",50
100022866,284,"AN","133","920607",6,"Dactylis glomerata","7w","WAL","25-50%","Cock's-foot",50
100023319,231,"AN","10001","920607",6,"Dactylis glomerata","17w3","WAL","10-25%","Cock's-foot",25
10219561,958,"AN","10001","920607",6,"Dactylis glomerata","22s","SCO","25-50%","Cock's-foot",50
100013564,84,"AN","142","920607",6,"Dactylis glomerata","1e","ENG","25-50%","Cock's-foot",50
100023481,434,"AN","142","920607",6,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
100016472,202,"AN","101","920607",5,"Dactylis glomerata","6w","WAL","<10%","Cock's-foot",10
10218503,912,"AN","101","920607",5,"Dactylis glomerata","26s","SCO","10-25%","Cock's-foot",25
10230219,701,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","10-25%","Cock's-foot",25
100017979,555,"AN","10001","920607",4,"Dactylis glomerata","11e","ENG","10-25%","Cock's-foot",25
100017959,555,"AN","10035","920607",6,"Dactylis glomerata","11e","ENG","75-95%","Cock's-foot",95
10227637,735,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
100018828,383,"AN","142","920607",6,"Dactylis glomerata","17e","ENG","10-25%","Cock's-foot",25
10212702,808,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
10224592,101,"AN","101","920607",23,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
10215633,819,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
10224545,91,"AN","10002","920607",30,"Dactylis glomerata","2e","ENG","<10%","Cock's-foot",10
10212924,733,"AN","133","920607",6,"Dactylis glomerata","13s","SCO","25-50%","Cock's-foot",50
100020728,603,"AN","133","920607",6,"Dactylis glomerata","10e","ENG","10-25%","Cock's-foot",25
100017960,555,"AN","10035","920607",6,"Dactylis glomerata","11e","ENG","50-75%","Cock's-foot",75
100011206,945,"AN","141","920607",4,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100012177,1098,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
10216499,845,"AN","10001","920607",6,"Dactylis glomerata","19s","SCO","<10%","Cock's-foot",10
100010284,845,"AN","101","920607",5,"Dactylis glomerata","19s","SCO","25-50%","Cock's-foot",50
100016465,202,"AN","101","920607",5,"Dactylis glomerata","6w","WAL","<10%","Cock's-foot",10
10219874,982,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
10211542,702,"AN","10001","920607",6,"Dactylis glomerata","7s","SCO","10-25%","Cock's-foot",25
100023470,434,"AN","10001","920607",6,"Dactylis glomerata","5w","WAL","<10%","Cock's-foot",10
10212545,727,"AN","10001","920607",6,"Dactylis glomerata","16e","ENG","10-25%","Cock's-foot",25
10218745,928,"AN","142","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
10224584,101,"AN","101","920607",23,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
100012689,1184,"AN","10001","920607",6,"Dactylis glomerata","31s","SCO","10-25%","Cock's-foot",25
100014133,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100024161,256,"AN","10001","920607",6,"Dactylis glomerata","6w","WAL","<10%","Cock's-foot",10
100013500,127,"AN","101","920607",5,"Dactylis glomerata","6e","ENG","10-25%","Cock's-foot",25
100017502,428,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
10219902,982,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
10217397,877,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
100013905,131,"AN","10001","920607",6,"Dactylis glomerata","1e","ENG","50-75%","Cock's-foot",75
100023874,230,"AN","142","920607",6,"Dactylis glomerata","5w","WAL","<10%","Cock's-foot",10
100010286,845,"AN","101","920607",5,"Dactylis glomerata","19s","SCO","25-50%","Cock's-foot",50
10214134,763,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100023035,229,"AN","10001","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10216825,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100024207,174,"AN","101","920607",5,"Dactylis glomerata","6w","WAL","10-25%","Cock's-foot",25
10214869,789,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100016383,331,"AN","133","920607",6,"Dactylis glomerata","9e","ENG","<10%","Cock's-foot",10
100012283,1099,"AN","133","920607",6,"Dactylis glomerata","28s","SCO","25-50%","Cock's-foot",50
100017855,534,"AN","10001","920607",3,"Dactylis glomerata","12e","ENG","10-25%","Cock's-foot",25
10220828,1072,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100024192,174,"AN","10001","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10219375,947,"AN","106","920607",41,"Dactylis glomerata","27s","SCO","10-25%","Cock's-foot",25
100010802,827,"AN","10035","920607",6,"Dactylis glomerata","25s","SCO","75-95%","Cock's-foot",95
100018299,316,"AN","133","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
100012207,1098,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
10212911,733,"AN","133","920607",6,"Dactylis glomerata","13s","SCO","25-50%","Cock's-foot",50
100020422,781,"AN","142","920607",6,"Dactylis glomerata","13s","SCO","10-25%","Cock's-foot",25
10224596,101,"AN","101","920607",1,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
100022970,116,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","75-95%","Cock's-foot",95
10213120,735,"AN","101","920607",5,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
10220945,1072,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100017391,396,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","25-50%","Cock's-foot",50
100020548,411,"AN","10001","920607",6,"Dactylis glomerata","9e","ENG","10-25%","Cock's-foot",25
10224469,76,"AN","133","920607",0,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
10215914,826,"AN","10001","920607",6,"Dactylis glomerata","27s","SCO","10-25%","Cock's-foot",25
10212920,733,"AN","133","920607",6,"Dactylis glomerata","13s","SCO","25-50%","Cock's-foot",50
100020780,604,"AN","10001","920607",6,"Dactylis glomerata","10e","ENG","10-25%","Cock's-foot",25
100018403,317,"AN","133","920607",6,"Dactylis glomerata","15w","WAL","10-25%","Cock's-foot",25
10216259,838,"AN","10001","920607",6,"Dactylis glomerata","27s","SCO","<10%","Cock's-foot",10
10216468,844,"AN","142","920607",6,"Dactylis glomerata","19s","SCO","25-50%","Cock's-foot",50
100018049,609,"AN","10001","920607",6,"Dactylis glomerata","9e","ENG","25-50%","Cock's-foot",50
100018057,609,"AN","133","920607",6,"Dactylis glomerata","9e","ENG","10-25%","Cock's-foot",25
100012031,1072,"AN","101","920607",5,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100012212,1098,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100017003,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
100016994,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
10216574,845,"AN","101","920607",5,"Dactylis glomerata","19s","SCO","50-75%","Cock's-foot",75
10212757,1186,"AN","102","920607",8,"Dactylis glomerata","32s","SCO","10-25%","Cock's-foot",25
10213341,743,"AN","133","920607",6,"Dactylis glomerata","25e","ENG","10-25%","Cock's-foot",25
10217111,868,"AN","133","920607",6,"Dactylis glomerata","18s","SCO","25-50%","Cock's-foot",50
10219914,982,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","10-25%","Cock's-foot",25
100014000,109,"AN","101","920607",5,"Dactylis glomerata","2e","ENG","<10%","Cock's-foot",10
100013668,89,"AN","101","920607",5,"Dactylis glomerata","2e","ENG","25-50%","Cock's-foot",50
10219582,958,"AN","10001","920607",6,"Dactylis glomerata","22s","SCO","25-50%","Cock's-foot",50
10214898,789,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
10219325,945,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100016080,145,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
100016082,145,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
100016495,203,"AN","101","920607",5,"Dactylis glomerata","6w","WAL","10-25%","Cock's-foot",25
10218739,928,"AN","142","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
100017115,1253,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","<10%","Cock's-foot",10
100012145,1075,"AN","133","920607",6,"Dactylis glomerata","28s","SCO","25-50%","Cock's-foot",50
100010824,864,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","50-75%","Cock's-foot",75
10224400,61,"AN","133","920607",6,"Dactylis glomerata","1e","ENG","10-25%","Cock's-foot",25
10214865,789,"AN","101","920607",5,"Dactylis glomerata","27s","SCO","<10%","Cock's-foot",10
100022071,1251,"AN","10001","920607",6,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
100022340,212,"AN","101","920607",5,"Dactylis glomerata","1e","ENG","10-25%","Cock's-foot",25
10216562,845,"AN","142","920607",6,"Dactylis glomerata","19s","SCO","25-50%","Cock's-foot",50
100016040,145,"AN","101","920607",5,"Dactylis glomerata","3e","ENG","25-50%","Cock's-foot",50
100024160,256,"AN","10001","920607",6,"Dactylis glomerata","6w","WAL","<10%","Cock's-foot",10
100023168,292,"AN","133","920607",6,"Dactylis glomerata","17w2","WAL","10-25%","Cock's-foot",25
10219348,945,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
10214123,763,"AN","101","920607",5,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100013801,111,"AN","101","920607",5,"Dactylis glomerata","2e","ENG","10-25%","Cock's-foot",25
100023856,230,"AN","10001","920607",6,"Dactylis glomerata","5w","WAL","25-50%","Cock's-foot",50
10219885,982,"AN","10001","920607",6,"Dactylis glomerata","25s","SCO","<10%","Cock's-foot",10
100013448,102,"AN","133","920607",6,"Dactylis glomerata","6e","ENG","10-25%","Cock's-foot",25
100023061,229,"AN","10001","920607",6,"Dactylis glomerata","6w","WAL","10-25%","Cock's-foot",25
100014211,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100016054,145,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
100012003,1072,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100017001,1247,"AN","101","920607",1,"Dactylis glomerata","5w","WAL","25-50%","Cock's-foot",50
10217736,893,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","50-75%","Cock's-foot",75
10215121,794,"AN","133","920607",6,"Dactylis glomerata","10e","ENG","25-50%","Cock's-foot",50
100017813,532,"AN","101","920607",5,"Dactylis glomerata","11e","ENG","10-25%","Cock's-foot",25
10214418,776,"AN","101","920607",5,"Dactylis glomerata","19e","ENG","10-25%","Cock's-foot",25
